hskLevel,hanzi,pinyin,definition
1,再见,zài jiàn,goodbye
1,怎么,zěn me,variant of 怎麼|怎么[zěn me]
1,怎么样,zěn me yàng,how?
1,这,zhè,this
1,中国,Zhōng guó,China
1,中午,zhōng wǔ,noon
1,住,zhù,to live
1,桌子,zhuō zi,table
1,字,zì,letter
1,昨天,zuó tiān,yesterday
1,坐,zuò,to sit
1,做,zuò,to do
2,吧,ba,(modal particle indicating suggestion or surmise)
2,白,bái,white
2,百,bǎi,hundred
2,帮助,bāng zhù,assistance
2,报纸,bào zhǐ,newspaper
2,比,bǐ,(particle used for comparison and "-er than")
2,别,bié,to leave
2,长,cháng,length
2,唱歌,chàng gē,to sing a song
2,出,chū,to go out
2,穿,chuān,to bore through
2,船,chuán,a boat
2,次,cì,next in sequence
2,从,cóng,from
2,错,cuò,mistake
2,打篮球,dá lán qiú,Play basketball
2,大家,dà jiā,everyone
2,但是,dàn shì,but
2,到,dào,to (a place)
2,得,de,structural particle: used after a verb (or adjective as main verb)
2,得,děi,to have to
2,弟弟,dì di,younger brother
2,第一,dì yī,first
2,懂,dǒng,to understand
2,房间,fáng jiān,room
2,非常,fēi cháng,unusual
2,服务员,fú wù yuán,waiter
2,高,gāo,high
2,告诉,gào su,to tell
2,哥哥,gē ge,older brother
2,给,gěi,to
2,公共汽车,gōng gòng qì chē,bus
2,公斤,gōng jīn,kilogram (kg)
2,公司,gōng sī,(business) company
2,贵,guì,expensive
2,还,hái,still
2,孩子,hái zi,child
2,好吃,hǎo chī,tasty
2,号,hào,ordinal number
2,黑,hēi,black
2,红,hóng,red
2,欢迎,huān yíng,to welcome
2,还,huán,to pay back
2,回答,huí dá,to reply
2,机场,jī chǎng,airport
2,鸡蛋,jī dàn,(chicken) egg
2,件,jiàn,item
2,教室,jiào shì,classroom
2,姐姐,jiě jie,older sister
2,介绍,jiè shào,to introduce (sb to sb)
2,进,jìn,to advance
2,近,jìn,near
2,就,jiù,at once
2,觉得,jué de,to think
2,咖啡,kā fēi,coffee
2,开始,kāi shǐ,to begin
2,考试,kǎo shì,to take an exam
2,可能,kě néng,might (happen)
2,可以,kě yǐ,can
2,课,kè,subject
2,快,kuài,rapid
2,快乐,kuài lè,happy
2,累,lèi,tired
2,离,lí,to leave
2,两,liǎng,both
2,路,lù,road
2,旅游,lǚ yóu,trip
2,卖,mài,to sell
2,慢,màn,slow
2,忙,máng,busy
2,每,měi,each
2,妹妹,mèi mei,younger sister
2,门,mén,gate
2,男人,nán rén,a man
2,您,nín,you (courteous
2,牛奶,niú nǎi,cow's milk
2,女人,nǚ rén,woman
2,旁边,páng biān,lateral
2,跑步,pǎo bù,to walk quickly
2,便宜,pián yi,small advantages
2,票,piào,ticket
2,妻子,qī zi,wife
2,起床,qǐ chuáng,to get out of bed
2,千,qiān,a swing
2,晴,qíng,clear
2,去年,qù nián,last year
2,让,ràng,to yield
2,上班,shàng bān,to go to work
2,身体,shēn tǐ,(human) body
2,生病,shēng bìng,to fall ill
2,生日,shēng rì,birthday
2,时间,shí jiān,time
2,事情,shì qing,affair
2,手表,shǒu biǎo,wrist watch
2,手机,shǒu jī,cell phone
2,送,sòng,to deliver
2,所以,suǒ yǐ,therefore
2,它,tā,it
2,踢,tī,to kick
2,题,tí,topic
2,跳舞,tiào wǔ,to dance
2,外,wài,outside
2,完,wán,to finish
2,玩,wán,toy
2,晚上,wǎn shang,evening
2,为,wèi,variant of 為|为
2,问,wèn,to ask
2,问题,wèn tí,question
2,西瓜,xī guā,watermelon
2,希望,xī wàng,to wish for
2,洗,xǐ,to wash
2,向,xiàng,towards
2,小时,xiǎo shí,hour
2,笑,xiào,laugh
2,新,xīn,new
2,姓,xìng,family name
2,休息,xiū xi,rest
2,雪,xuě,snow
2,颜色,yán sè,color
2,眼睛,yǎn jing,eye
2,羊肉,yáng ròu,mutton
2,药,yào,medicine
2,要,yào,important
2,也,yě,also
2,已经,yǐ jīng,already
2,一起,yī qǐ,in the same place
2,意思,yì si,idea
2,阴,yīn,overcast (weather)
2,因为,yīn wèi,because
2,游泳,yóu yǒng,swimming
2,右边,yòu bian,right side
2,鱼,yú,fish
2,元,yuán,Chinese monetary unit
2,远,yuǎn,far
2,运动,yùn dòng,to move
2,再,zài,again
2,早上,zǎo shang,early morning
2,张,zhāng,to open up
2,长,zhǎng,chief
2,丈夫,zhàng fu,husband
2,找,zhǎo,to try to find
2,着,zhe,aspect particle indicating action in progress
2,真,zhēn,really
2,正在,zhèng zài,in the process of (doing something or happening)
2,知道,zhī dào,to know
2,准备,zhǔn bèi,preparation
2,自行车,zì xíng chē,bicycle
2,走,zǒu,to walk
2,最,zuì,most
2,左边,zuǒ bian,left
3,阿姨,ā yí,maternal aunt
3,啊,a,modal particle ending sentence
3,矮,ǎi,low
3,爱好,ài hào,to like
3,安静,ān jìng,quiet
3,把,bǎ,to hold
3,搬,bān,to move
3,班,bān,team
3,半,bàn,half
3,办法,bàn fǎ,means
3,办公室,bàn gōng shì,office
3,帮忙,bāng máng,to help
3,包,bāo,to cover
3,饱,bǎo,to eat till full
3,北方,běi fāng,north
3,被,bèi,quilt
3,鼻子,bí zi,nose
3,比较,bǐ jiào,to compare
3,比赛,bǐ sài,competition (sports etc)
3,必须,bì xū,to have to
3,变化,biàn huà,change
3,表示,biǎo shì,to express
3,表演,biǎo yǎn,play
3,别人,bié ren,other people
3,宾馆,bīn guǎn,guesthouse
3,冰箱,bīng xiāng,icebox
3,才,cái,a moment ago
3,菜单,cài dān,menu
3,参加,cān jiā,to participate
3,草,cǎo,grass
3,层,céng,layer
3,差,chà,to differ from
3,超市,chāo shì,supermarket (abbr.)
3,衬衫,chèn shān,shirt
3,成绩,chéng jì,achievement
3,城市,chéng shì,city
3,迟到,chí dào,to arrive late
3,出现,chū xiàn,to appear
3,除了,chú le,besides
3,厨房,chú fáng,kitchen
3,春,chūn,spring (time)
3,词语,cí yǔ,word (general term including monosyllables through to short phrases)
3,聪明,cōng ming,acute (of sight and hearing)
3,打扫,dǎ sǎo,to clean
3,打算,dǎ suàn,to plan
3,带,dài,band
3,担心,dān xīn,anxious
3,蛋糕,dàn gāo,cake
3,当然,dāng rán,only natural
3,地,de,-ly
3,灯,dēng,lamp
3,低,dī,low
3,地方,dì fang,area
3,地铁,dì tiě,subway
3,地图,dì tú,map
3,电梯,diàn tī,elevator
3,电子,diàn zǐ,electronic
3,冬,dōng,sound of beating a drum
3,东,dōng,east
3,动物,dòng wù,animal
3,短,duǎn,short or brief
3,段,duàn,paragraph
3,锻炼,duàn liàn,to engage in physical exercise
3,多么,duō me,how (wonderful etc)
3,饿,è,to be hungry
3,而且,ér qiě,(not only ...) but also
3,耳朵,ěr duo,ear
3,发烧,fā shāo,to have a high temperature (from illness)
3,发现,fā xiàn,to find
3,方便,fāng biàn,convenient
3,放,fàng,to release
3,放心,fàng xīn,to feel relieved
3,分,fēn,to divide
3,附近,fù jìn,(in the) vicinity
3,复习,fù xí,variant of 復習|复习
3,干净,gān jìng,clean
3,敢,gǎn,to dare
3,感冒,gǎn mào,to catch cold
3,刚才,gāng cái,(just) a moment ago
3,根据,gēn jù,according to
3,跟,gēn,heel
3,更,gèng,more
3,公园,gōng yuán,public park
3,故事,gù shi,narrative
3,刮,guā,to blow (of the wind)
3,关,guān,mountain pass
3,关系,guān xì,variant of 關係|关系[guān xì]
3,关心,guān xīn,to care for sth
3,关于,guān yú,pertaining to
3,国家,guó jiā,country
3,果汁,guǒ zhī,fruit juice
3,过去,guò qu,(in the) past
3,还是,hái shi,or
3,害怕,hài pà,to be afraid
3,河,hé,river
3,黑板,hēi bǎn,blackboard
3,护照,hù zhào,passport
3,花,huā,flower
3,花园,huā yuán,garden
3,画,huà,to draw
3,坏,huài,bad
3,环境,huán jìng,environment
3,换,huàn,to change
3,黄,huáng,yellow
3,会议,huì yì,meeting
3,或者,huò zhě,or
3,机会,jī huì,opportunity
3,几乎,jī hū,almost
3,极,jí,extremely
3,记得,jì de,to remember
3,季节,jì jié,time
3,检查,jiǎn chá,inspection
3,简单,jiǎn dān,simple
3,见面,jiàn miàn,to meet
3,健康,jiàn kāng,health
3,讲,jiǎng,to speak
3,教,jiāo,to teach
3,脚,jiǎo,foot
3,角,jiǎo,angle
3,接,jiē,to receive
3,街道,jiē dào,street
3,节目,jié mù,program
3,节日,jié rì,holiday
3,结婚,jié hūn,to marry
3,结束,jié shù,termination
3,解决,jiě jué,to settle (a dispute)
3,借,jiè,to lend
3,经常,jīng cháng,day to day
3,经过,jīng guò,to pass
3,经理,jīng lǐ,manager
3,久,jiǔ,(long) time
3,旧,jiù,old
3,举行,jǔ xíng,to hold (a meeting
3,句子,jù zi,sentence
3,决定,jué dìng,to decide (to do something)
3,渴,kě,thirsty
3,可爱,kě ài,adorable
3,刻,kè,quarter (hour)
3,客人,kè rén,visitor
3,空调,kōng tiáo,air conditioning
3,口,kǒu,mouth
3,哭,kū,to cry
3,裤子,kù zi,trousers
3,筷子,kuài zi,chopsticks
3,蓝,lán,blue
3,老,lǎo,old
3,离开,lí kāi,to depart
3,礼物,lǐ wù,gift
3,历史,lì shǐ,history
3,脸,liǎn,face
3,练习,liàn xí,exercise
3,辆,liàng,classifier for vehicles
3,了解,liǎo jiě,to understand
3,邻居,lín jū,neighbor
3,楼,lóu,house with more than 1 story
3,绿,lǜ,green
3,马,mǎ,horse
3,马上,mǎ shàng,at once
3,满意,mǎn yì,satisfied
3,帽子,mào zi,hat
3,米,mǐ,rice
3,面包,miàn bāo,bread
3,面条,miàn tiáo,noodles
3,明白,míng bai,clear
3,拿,ná,to hold
3,奶奶,nǎi nai,(informal) grandma (paternal grandmother)
3,南,nán,south
3,难,nán,difficult (to...)
3,难过,nán guò,to feel sad
3,年级,nián jí,grade
3,年轻,nián qīng,young
3,鸟,niǎo,bird
3,努力,nǔ lì,great effort
3,爬山,pá shān,to climb a mountain
3,盘子,pán zi,tray
3,胖,pàng,fat
3,啤酒,pí jiǔ,beer
3,葡萄,pú tao,grape
3,普通话,pǔ tōng huà,Mandarin (common language)
3,骑,qí,to ride (an animal or bike)
3,其实,qí shí,actually
3,其他,qí tā,other
3,奇怪,qí guài,strange
3,铅笔,qiān bǐ,(lead) pencil
3,清楚,qīng chu,clear
3,秋,qiū,a swing
3,裙子,qún zi,skirt
3,然后,rán hòu,after
3,热情,rè qíng,cordial
3,认为,rèn wéi,to believe
3,认真,rèn zhēn,conscientious
3,容易,róng yì,easy
3,如果,rú guǒ,if
3,伞,sǎn,umbrella
3,上网,shàng wǎng,to be on the internet
3,生气,shēng qì,angry
3,声音,shēng yīn,voice
3,使,shǐ,to make
3,世界,shì jiè,world
3,瘦,shòu,thin
3,舒服,shū fu,comfortable
3,叔叔,shū shu,father's younger brother
3,树,shù,tree
3,数学,shù xué,mathematics
3,刷,shuā,to brush
3,双,shuāng,two
3,水平,shuǐ píng,level (of achievement etc)
3,司机,sī jī,chauffeur
3,虽然,suī rán,although
3,太阳,tài yáng,sun
3,糖,táng,sugar
3,特别,tè bié,especially
3,疼,téng,(it) hurts
3,提高,tí gāo,to raise
3,体育,tǐ yù,sports
3,甜,tián,sweet
3,条,tiáo,strip
3,同事,tóng shì,colleague
3,同意,tóng yì,to agree
3,头发,tóu fa,hair (on the head)
3,突然,tū rán,sudden
3,图书馆,tú shū guǎn,library
3,腿,tuǐ,leg
3,完成,wán chéng,to complete
3,碗,wǎn,bowl
3,万,wàn,ten thousand
3,忘记,wàng jì,to forget
3,为了,wèi le,in order to
3,为什么,wèi shén me,why?
3,位,wèi,position
3,文化,wén huà,culture
3,西,xī,west
3,习惯,xí guàn,habit
3,洗手间,xǐ shǒu jiān,toilet
3,洗澡,xǐ zǎo,to bathe
3,夏,xià,summer
3,先,xiān,early
3,香蕉,xiāng jiāo,banana
3,相同,xiāng tóng,identical
3,相信,xiāng xìn,to be convinced (that sth is true)
3,像,xiàng,to resemble
3,小心,xiǎo xīn,to be careful
3,校长,xiào zhǎng,(college
3,鞋,xié,shoe
3,新闻,xīn wén,news
3,新鲜,xīn xiān,fresh (experience
3,信,xìn,letter
3,行李箱,xíng li xiāng,suitcase
3,兴趣,xìng qù,interest (desire to know about sth)
3,熊猫,xióng māo,panda
3,需要,xū yào,to need
3,选择,xuǎn zé,to select
3,眼镜,yǎn jìng,spectacles
3,要求,yāo qiú,to request
3,爷爷,yé ye,(informal) father's father
3,一定,yī dìng,surely
3,一共,yī gòng,altogether
3,一会儿,yī huì r,a while
3,一样,yī yàng,same
3,以后,yǐ hòu,after
3,以前,yǐ qián,before
3,以为,yǐ wéi,to believe
3,一般,yī bān,same
3,一边,yī biān,one side
3,一直,yī zhí,straight (in a straight line)
3,音乐,yīn yuè,music
3,银行,yín háng,bank
3,应该,yīng gāi,ought to
3,影响,yǐng xiǎng,an influence
3,用,yòng,to use
3,游戏,yóu xì,game
3,有名,yǒu míng,famous
3,又,yòu,(once) again
3,遇到,yù dào,to meet
3,愿意,yuàn yì,to wish
3,越,yuè,to exceed
3,月亮,yuè liang,moon
3,云,yún,cloud
3,站,zhàn,station
3,着急,zháo jí,to worry
3,照顾,zhào gu,to take care of
3,照片,zhào piàn,photograph
3,照相机,zhào xiàng jī,camera
3,只,zhī,classifier for birds and certain animals
3,只,zhǐ,but
3,终于,zhōng yú,at last
3,中间,zhōng jiān,between
3,种,zhǒng,abbr. for 物種|物种
3,重要,zhòng yào,important
3,周末,zhōu mò,weekend
3,主要,zhǔ yào,main
3,祝,zhù,to wish
3,注意,zhù yì,to take note of
3,字典,zì diǎn,dictionary
3,自己,zì jǐ,oneself
3,总是,zǒng shì,always
3,最近,zuì jìn,recent
3,作业,zuò yè,school assignment
3,作用,zuò yòng,to act on
4,爱情,ài qíng,romance
4,安排,ān pái,to arrange
4,安全,ān quán,safe
4,暗,àn,to close (a door)
4,按时,àn shí,on time
4,按照,àn zhào,according to
4,包括,bāo kuò,to comprise
4,保护,bǎo hù,to protect
4,保证,bǎo zhèng,guarantee
4,抱,bào,to hold
4,抱歉,bào qiàn,to be sorry
4,报道,bào dào,report
4,报名,bào míng,to sign up
4,倍,bèi,(two
4,本来,běn lái,original
4,笨,bèn,stupid
4,笔记本,bǐ jì běn,notebook
4,毕业,bì yè,graduation
4,遍,biàn,everywhere
4,标准,biāo zhǔn,(an official) standard
4,表达,biǎo dá,to voice (an opinion)
4,表格,biǎo gé,form
4,表扬,biǎo yáng,to praise
4,饼干,bǐng gān,biscuit
4,并且,bìng qiě,and
4,博士,bó shì,doctor
4,不但,bù dàn,not only (... but also...)
4,不过,bù guò,only
4,不得不,bù dé bù,have no choice or option but to
4,不管,bù guǎn,no matter (what
4,不仅,bù jǐn,not only (this one)
4,部分,bù fèn,part
4,擦,cā,to wipe
4,猜,cāi,to guess
4,材料,cái liào,material
4,参观,cān guān,to look around
4,差不多,chà bu duō,almost
4,长城,Cháng chéng,the Great Wall
4,长江,Cháng Jiāng,Yangtze River
4,尝,cháng,to taste
4,场,chǎng,large place used for a specific purpose
4,超过,chāo guò,to surpass
4,吵,chǎo,to quarrel
4,乘坐,chéng zuò,to ride (in a vehicle)
4,成功,chéng gōng,success
4,成熟,chéng shú,mature
4,成为,chéng wéi,to become
4,诚实,chéng shí,honest
4,吃惊,chī jīng,to be startled
4,重新,chóng xīn,again
4,抽烟,chōu yān,to smoke (a cigarette
4,出差,chū chāi,to go on an official or business trip
4,出发,chū fā,to start out
4,出生,chū shēng,to be born
4,传真,chuán zhēn,fax
4,窗户,chuāng hu,window
4,词典,cí diǎn,dictionary (of Chinese compound words)
4,从来,cóng lái,always
4,粗心,cū xīn,careless
4,答案,dá àn,answer
4,打扮,dǎ ban,to decorate
4,打扰,dǎ rǎo,to disturb
4,打印,dǎ yìn,to print
4,打折,dǎ zhé,to give a discount
4,打针,dǎ zhēn,to give or have an injection
4,大概,dà gài,roughly
4,大使馆,dà shǐ guǎn,embassy
4,大约,dà yuē,approximately
4,戴,dài,to put on or wear (glasses
4,代表,dài biǎo,representative
4,代替,dài tì,instead
4,大夫,dài fu,doctor
4,当,dāng,to be
4,当地,dāng dì,local
4,当时,dāng shí,then
4,刀,dāo,knife
4,导游,dǎo yóu,tour guide
4,到处,dào chù,everywhere
4,到底,dào dǐ,finally
4,道歉,dào qiàn,to apologize
4,得意,dé yì,proud of oneself
4,等,děng,class
4,等,děng,class
4,底,dǐ,background
4,地球,dì qiú,the Earth
4,地址,dì zhǐ,address
4,掉,diào,to fall
4,调查,diào chá,investigation
4,丢,diū,to lose
4,动作,dòng zuò,movement
4,堵车,dǔ chē,traffic jam
4,肚子,dù zi,belly
4,断,duàn,to break
4,对,duì,couple
4,对,duì,couple
4,对话,duì huà,dialog
4,对面,duì miàn,(sitting) opposite
4,顿,dùn,to stop
4,朵,duǒ,flower
4,而,ér,and
4,儿童,ér tóng,child
4,发,fā,to send out
4,发生,fā shēng,to happen
4,发展,fā zhǎn,development
4,法律,fǎ lǜ,law
4,翻译,fān yì,to translate
4,烦恼,fán nǎo,to be worried
4,反对,fǎn duì,to fight against
4,反映,fǎn yìng,to mirror
4,范围,fàn wéi,range
4,方法,fāng fǎ,method
4,方面,fāng miàn,respect
4,方向,fāng xiàng,direction
4,访问,fǎng wèn,to visit
4,放弃,fàng qì,to renounce
4,放暑假,fàng shǔ jià,The summer holidays
4,分之,fēn zhī,(indicating a fraction)
4,份,fèn,classifier for gifts
4,风景,fēng jǐng,scenery
4,丰富,fēng fù,to enrich
4,否则,fǒu zé,if not
4,符合,fú hé,in keeping with
4,富,fù,rich
4,负责,fù zé,to be in charge of
4,复印,fù yìn,to photocopy
4,复杂,fù zá,complicated
4,父亲,fù qīn,father
4,改变,gǎi biàn,to change
4,干杯,gān bēi,to drink a toast
4,干燥,gān zào,to dry (of weather
4,感动,gǎn dòng,to move (sb)
4,感觉,gǎn jué,to feel
4,感情,gǎn qíng,feeling
4,感谢,gǎn xiè,(express) thanks
4,干,gàn,tree trunk
4,刚刚,gāng gang,just recently
4,高级,gāo jí,high level
4,个子,gè zi,height
4,各,gè,each
4,公里,gōng lǐ,kilometer
4,工具,gōng jù,tool
4,工资,gōng zī,wages
4,共同,gòng tóng,common
4,够,gòu,to reach
4,购物,gòu wù,shopping
4,孤单,gū dān,lone
4,估计,gū jì,to estimate
4,鼓励,gǔ lì,to encourage
4,鼓掌,gǔ zhǎng,to applaud
4,顾客,gù kè,client
4,故意,gù yì,deliberately
4,挂,guà,to hang or suspend (from a hook etc)
4,关键,guān jiàn,crucial point
4,观众,guān zhòng,spectators
4,管理,guǎn lǐ,to supervise
4,光,guāng,light
4,广播,guǎng bō,broadcast
4,广告,guǎng gào,to advertise
4,逛,guàng,to stroll
4,规定,guī dìng,provision
4,国际,guó jì,international
4,果然,guǒ rán,really
4,过,guò,(experienced action marker)
4,过,guò,(experienced action marker)
4,过程,guò chéng,course of events
4,海洋,hǎi yáng,ocean
4,害羞,hài xiū,shy
4,寒假,hán jià,winter vacation
4,汗,hàn,perspiration
4,航班,háng bān,scheduled flight
4,好处,hǎo chu,benefit
4,好像,hǎo xiàng,as if
4,号码,hào mǎ,number
4,合格,hé gé,qualified
4,合适,hé shì,suitable
4,盒子,hé zi,case
4,猴子,hóu zi,monkey
4,厚,hòu,thick
4,后悔,hòu huǐ,to regret
4,后来,hòu lái,afterwards
4,忽然,hū rán,suddenly
4,互相,hù xiāng,each other
4,护士,hù shi,nurse
4,怀疑,huái yí,to doubt
4,回忆,huí yì,to recall
4,活动,huó dòng,to exercise
4,活泼,huó po,lively
4,火,huǒ,fire
4,获得,huò dé,to obtain
4,基础,jī chǔ,base
4,激动,jī dòng,to excite
4,积极,jī jí,active
4,积累,jī lěi,to accumulate
4,极其,jí qí,extremely
4,即使,jí shǐ,even if
4,及时,jí shí,in time
4,集合,jí hé,to gather
4,寄,jì,to live (in a house)
4,继续,jì xù,to continue
4,记者,jì zhě,reporter
4,计划,jì huà,plan
4,技术,jì shù,technology
4,既然,jì rán,since
4,家具,jiā jù,furniture
4,加班,jiā bān,to work overtime
4,加油站,jiā yóu zhàn,gas station
4,假,jiǎ,fake
4,价格,jià gé,price
4,坚持,jiān chí,to persevere with
4,减肥,jiǎn féi,to lose weight
4,减少,jiǎn shǎo,to lessen
4,将来,jiāng lái,in the future
4,奖金,jiǎng jīn,premium
4,降低,jiàng dī,to reduce
4,交,jiāo,to hand over
4,交流,jiāo liú,to exchange
4,交通,jiāo tōng,to be connected
4,骄傲,jiāo ào,pride
4,饺子,jiǎo zi,dumpling
4,教授,jiào shòu,professor
4,教育,jiào yù,to educate
4,接受,jiē shòu,to accept
4,节约,jié yuē,to economize
4,结果,jié guǒ,outcome
4,解释,jiě shì,explanation
4,紧张,jǐn zhāng,nervous
4,尽管,jǐn guǎn,despite
4,进行,jìn xíng,to advance
4,禁止,jìn zhǐ,to prohibit
4,精彩,jīng cǎi,brilliant
4,精神,jīng shén,spirit
4,经济,jīng jì,economy
4,经历,jīng lì,experience
4,经验,jīng yàn,to experience
4,京剧,Jīng jù,Beijing opera
4,警察,jǐng chá,police
4,竟然,jìng rán,unexpectedly
4,竞争,jìng zhēng,to compete
4,镜子,jìng zi,mirror
4,究竟,jiū jìng,after all (when all is said and done)
4,举办,jǔ bàn,to conduct
4,拒绝,jù jué,to refuse
4,距离,jù lí,distance
4,开玩笑,kāi wán xiào,to play a joke
4,看法,kàn fǎ,way of looking at a thing
4,考虑,kǎo lǜ,to think over
4,棵,kē,classifier for trees
4,科学,kē xué,science
4,咳嗽,ké sou,to cough
4,可怜,kě lián,pitiful
4,可是,kě shì,but
4,可惜,kě xī,it is a pity
4,肯定,kěn dìng,to be sure
4,空气,kōng qì,air
4,恐怕,kǒng pà,fear
4,苦,kǔ,bitter
4,宽,kuān,lenient
4,困,kùn,sleepy
4,困难,kùn nan,difficult
4,扩大,kuò dà,to expand
4,拉,lā,to pull
4,垃圾桶,lā jī tǒng,rubbish bin
4,辣,là,hot (spicy)
4,来不及,lái bu jí,there's not enough time (to do sth)
4,来得及,lái de jí,there's still time
4,懒,lǎn,lazy
4,浪费,làng fèi,to waste
4,浪漫,làng màn,romantic
4,老虎,lǎo hǔ,tiger
4,冷静,lěng jìng,calm
4,礼貌,lǐ mào,courtesy
4,理发,lǐ fà,a barber
4,理解,lǐ jiě,to comprehend
4,理想,lǐ xiǎng,a dream
4,厉害,lì hai,difficult to deal with
4,力气,lì qi,strength
4,例如,lì rú,for example
4,俩,liǎ,two (colloquial equivalent of 兩個|两个)
4,连,lián,to link
4,联系,lián xì,connection
4,凉快,liáng kuai,nice and cold
4,亮,liàng,bright
4,聊天,liáo tiān,to chat
4,另外,lìng wài,additional
4,留,liú,to leave (a message etc)
4,留学,liú xué,to study abroad
4,流泪,liú lèi,to shed tears
4,流利,liú lì,fluent
4,流行,liú xíng,to spread
4,乱,luàn,in confusion or disorder
4,律师,lǜ shī,lawyer
4,麻烦,má fan,inconvenient
4,马虎,mǎ hu,careless
4,满,mǎn,full
4,毛巾,máo jīn,towel
4,美丽,měi lì,beautiful
4,梦,mèng,dream
4,密码,mì mǎ,code
4,免费,miǎn fèi,free (of charge)
4,民族,mín zú,nationality
4,母亲,mǔ qīn,mother
4,目的,mù dì,purpose
4,耐心,nài xīn,to be patient
4,难道,nán dào,don't tell me ...
4,难受,nán shòu,to feel unwell
4,内,nèi,inside
4,内容,nèi róng,content
4,能力,néng lì,capability
4,年龄,nián líng,(a person's) age
4,农村,nóng cūn,rural area
4,弄,nòng,to do
4,暖和,nuǎn huo,warm
4,偶尔,ǒu ěr,occasionally
4,排列,pái liè,array
4,判断,pàn duàn,to decide
4,陪,péi,to accompany
4,批评,pī píng,to criticize
4,皮肤,pí fū,skin
4,脾气,pí qi,character
4,篇,piān,sheet
4,骗,piàn,to cheat
4,乒乓球,pīng pāng qiú,table tennis
4,平时,píng shí,ordinarily
4,瓶子,píng zi,bottle
4,破,pò,broken
